strategy,sample_group,window_sec,events,events_with_trades,events_min_le_0.95,total_size_le_0.95,events_min_le_0.97,total_size_le_0.97,events_min_le_0.98,total_size_le_0.98,events_min_le_0.99,total_size_le_0.99,events_min_le_0.995,total_size_le_0.995,events_min_le_0.999,total_size_le_0.999,overall_min_price,overall_min_net_roi_pct
loser_no,final_margin_eq_1,60,8,8,0,0,0,0,0,0,0,0,0,0,8,146706.46,0.999,0.0971
loser_no,final_margin_eq_1,120,8,8,0,0,0,0,0,0,1,400.0,1,409.5,8,294791.931,0.99,0.9801
loser_no,final_margin_eq_1,180,8,8,0,0,0,0,0,0,2,3227.76,2,3237.26,8,930299.528,0.99,0.9801
loser_no,final_margin_eq_1,300,8,8,1,28330.274532,1,41898.826682,1,48357.319482,2,118628.286682,3,119846.786682,8,1337724.260402,0.93,7.3169
loser_no,final_margin_eq_1,480,8,8,1,112454.872713,1,126023.424863,1,132481.917663,5,231015.53892,7,272291.757144,8,2050654.496669,0.9,10.8111
loser_no,final_margin_ge_1,60,26,18,0,0,0,0,0,0,0,0,0,0,18,168582.28,0.999,0.0971
loser_no,final_margin_ge_1,120,26,20,0,0,0,0,0,0,1,400.0,1,409.5,20,336093.981,0.99,0.9801
loser_no,final_margin_ge_1,180,26,21,0,0,0,0,0,0,2,3227.76,2,3237.26,21,996526.658,0.99,0.9801
loser_no,final_margin_ge_1,300,26,22,1,28330.274532,1,41898.826682,1,48357.319482,2,118628.286682,3,119846.786682,22,1838590.119402,0.93,7.3169
loser_no,final_margin_ge_1,480,26,23,1,112454.872713,1,126023.424863,1,132481.917663,6,231513.50892,8,272789.727144,23,2714406.347178,0.9,10.8111
