market_group,window_sec,date,title,score,final_margin,winner,loser,question,outcome,cushion,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,conditionId,token,page_errors,error
loser_no,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,South Africa,Will South Africa win on 2026-06-11?,No,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,13831437646097357849969762270657565756546241648335019755832588756409925241179,[],
loser_no,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,South Africa,Will South Africa win on 2026-06-11?,No,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,13831437646097357849969762270657565756546241648335019755832588756409925241179,[],
loser_no,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,South Africa,Will South Africa win on 2026-06-11?,No,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,13831437646097357849969762270657565756546241648335019755832588756409925241179,[],
loser_no,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,South Africa,Will South Africa win on 2026-06-11?,No,3,3,1141.12,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,1141.12,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,13831437646097357849969762270657565756546241648335019755832588756409925241179,[],
loser_no,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,South Africa,Will South Africa win on 2026-06-11?,No,3,5,1163.01,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,1163.01,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,13831437646097357849969762270657565756546241648335019755832588756409925241179,[],
loser_no,60,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Czechia,Will Czechia win on 2026-06-11?,No,2,2,168.88,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,168.88,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,68484243328569428588255043277797425895965411073244027845565817022786363564052,[],
loser_no,120,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Czechia,Will Czechia win on 2026-06-11?,No,2,4,30168.88,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,30168.88,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,68484243328569428588255043277797425895965411073244027845565817022786363564052,[],
loser_no,180,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Czechia,Will Czechia win on 2026-06-11?,No,2,9,32146.86,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,9,32146.86,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,68484243328569428588255043277797425895965411073244027845565817022786363564052,[],
loser_no,300,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Czechia,Will Czechia win on 2026-06-11?,No,2,30,69827.195,0.996,0.999,0.3896,0.0971,0,0,0,0,0,0,0,0,0,0,30,69827.195,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,68484243328569428588255043277797425895965411073244027845565817022786363564052,[],
loser_no,480,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Czechia,Will Czechia win on 2026-06-11?,No,2,79,298697.645,0.99,0.999,0.9801,0.0971,0,0,0,0,0,0,1,7.46,1,7.46,79,298697.645,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,68484243328569428588255043277797425895965411073244027845565817022786363564052,[],
