strategy,window_sec,events,events_with_trades,events_min_le_0.95,total_size_le_0.95,events_min_le_0.97,total_size_le_0.97,events_min_le_0.98,total_size_le_0.98,events_min_le_0.99,total_size_le_0.99,events_min_le_0.995,total_size_le_0.995,events_min_le_0.999,total_size_le_0.999,overall_min_price,overall_min_net_roi_pct
btts_yes_locked,60,23,20,0,0,0,0,0,0,1,1890.68,1,1890.68,20,22033.5,0.99,0.9801
btts_yes_locked,120,23,21,0,0,0,0,0,0,1,3490.3,1,3490.3,21,60907.19,0.99,0.9801
btts_yes_locked,180,23,23,0,0,0,0,0,0,1,7548.47,2,9554.29,23,131583.714,0.99,0.9801
btts_yes_locked,300,23,23,1,4924.983434,1,5636.697762,1,5788.922242,4,47423.106719,4,49583.916719,23,343068.490719,0.01,9897.03
btts_yes_locked,480,23,23,3,48391.787318,3,54203.737412,3,72881.908915,4,175282.178633,4,177442.988633,23,514263.396646,0.01,9897.03
draw_no_lead_ge2,60,19,7,0,0,0,0,0,0,0,0,0,0,7,78184.81,0.999,0.0971
draw_no_lead_ge2,120,19,9,0,0,0,0,0,0,2,30531.660908,3,31502.223129,9,157126.253129,0.989,1.0792
draw_no_lead_ge2,180,19,11,0,0,0,0,0,0,2,39840.207827,3,43293.936713,11,199321.056713,0.9870000007046698,1.2781
draw_no_lead_ge2,300,19,11,1,8126.097611,3,20743.34821,3,28059.924864,3,105133.479775,5,111622.324211,11,436831.259211,0.93,7.3169
draw_no_lead_ge2,480,19,14,3,28306.967412,3,61627.430811,3,73928.216032,4,152903.539479,7,167868.844704,14,763373.927369,0.91,9.6201
leader_yes_lead_ge2,60,19,16,0,0,0,0,0,0,0,0,0,0,16,1234268.62,0.999,0.0971
leader_yes_lead_ge2,120,19,16,0,0,0,0,0,0,0,0,0,0,16,1432753.45,0.999,0.0971
leader_yes_lead_ge2,180,19,16,0,0,0,0,0,0,2,7607.31,2,19867.27,16,1586697.615496,0.989,1.0792
leader_yes_lead_ge2,300,19,16,1,22375.34345,3,71050.422933,3,200721.114969,4,298696.509526,5,365320.784633,16,2242283.049774,0.92,8.4557
leader_yes_lead_ge2,480,19,16,3,51474.660225,3,171491.792057,4,358999.70183,5,590478.373866,7,738797.048973,16,3223668.504112,0.916,8.9183
loser_no,60,26,18,0,0,0,0,0,0,0,0,0,0,18,168582.28,0.999,0.0971
loser_no,120,26,20,0,0,0,0,0,0,1,400.0,1,409.5,20,336093.981,0.99,0.9801
loser_no,180,26,21,0,0,0,0,0,0,2,3227.76,2,3237.26,21,996526.658,0.99,0.9801
loser_no,300,26,22,1,28330.274532,1,41898.826682,1,48357.319482,2,118628.286682,3,119846.786682,22,1838590.119402,0.93,7.3169
loser_no,480,26,23,1,112454.872713,1,126023.424863,1,132481.917663,6,231513.50892,8,272789.727144,23,2714406.347178,0.9,10.8111
spread_tight_loss_ge2,60,40,18,0,0,0,0,0,0,5,53622.64,8,54768.75111,18,64946.263139,0.99,0.9801
spread_tight_loss_ge2,120,40,25,1,727.192,2,1264.192,2,1314.192,10,79009.352,13,81927.11022,25,109954.502249,0.85,17.1971
spread_tight_loss_ge2,180,40,29,1,727.192,3,4555.416633,3,6297.424795,11,88460.84832,16,96407.56654,29,130371.731569,0.85,17.1971
spread_tight_loss_ge2,300,40,34,4,14129.873548,5,19976.488983,6,22406.857145,15,141824.621274,20,152495.422825,34,238242.565678,0.13,666.6208
spread_tight_loss_ge2,480,40,36,5,32675.134493,9,44684.1673,15,53383.70464,21,242313.890368,26,257775.821857,36,347194.813702,0.13,666.6208
team_total_over_locked,60,37,14,0,0,0,0,0,0,3,1389.46,3,1389.46,14,5583.81,0.99,0.9801
team_total_over_locked,120,37,21,1,938.392,2,960.892,2,1011.912,4,5383.962,4,5383.962,21,61664.732,0.95,5.1132
team_total_over_locked,180,37,23,2,1828.316178,2,2040.906178,2,2255.966178,5,10964.046178,5,10964.046178,23,71451.166178,0.0839454094292804,1088.5022
team_total_over_locked,300,37,29,4,14178.812525,4,16147.655114,5,16479.605114,8,29989.875114,8,30066.495114,29,106267.985114,0.02,4897.06
team_total_over_locked,480,37,30,6,39971.631989,6,42120.474578,7,42521.204578,10,67066.334578,10,67242.954578,30,165312.710578,0.01,9897.03
team_total_under_loss_ge2,60,36,12,0,0,0,0,0,0,2,90.32,3,204.36,12,1336.95,0.99,0.9801
team_total_under_loss_ge2,120,36,14,0,0,0,0,0,0,3,441.1,4,555.14,14,4134.14,0.99,0.9801
team_total_under_loss_ge2,180,36,18,0,0,1,8.33,1,8.33,5,497.33,6,611.37,18,4458.42,0.96,4.0467
team_total_under_loss_ge2,300,36,24,0,0,2,13.33,4,28.33,6,5710.35,7,5824.39,24,13667.296399,0.96,4.0467
team_total_under_loss_ge2,480,36,31,1,2062.1,3,2230.771462,6,4323.771462,9,11353.838098,12,11498.188098,31,37237.204519,0.89,12.0296
total_over_locked,60,37,28,1,7116.777407,1,12422.282307,1,34303.452714,5,57902.762714,5,57902.762714,28,168843.162714,0.83,19.9719
total_over_locked,120,37,31,4,115509.172036,4,137231.232859,4,202441.457223,10,280634.268388,10,281288.268388,31,467140.318888,0.05,1897.15
total_over_locked,180,37,33,5,198507.181796,5,230759.262619,6,296687.770915,11,410693.644416,11,411347.644416,33,612100.554916,0.04,2397.12
total_over_locked,300,37,34,9,537104.137571,9,594188.006991,9,676062.698719,12,909789.329258,12,912563.552176,34,1140339.802676,0.01,9897.03
total_over_locked,480,37,35,10,848705.044413,10,907490.446599,10,1005096.572221,15,1396702.515669,15,1480455.278725,35,1915626.351225,0.006,16563.6847
total_under_loss_ge2,60,38,33,0,0,0,0,0,0,4,1012.74,8,1048.21,33,30814.07,0.99,0.9801
total_under_loss_ge2,120,38,35,1,864.8,1,908.8,1,958.8,9,25992.51,14,27234.28,35,88727.617626,0.95,5.1132
total_under_loss_ge2,180,38,35,1,864.8,1,908.8,1,958.8,13,38376.22,19,49534.493,35,168777.437002,0.95,5.1132
