strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,page_errors
spread_tight_loss_ge2,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Spread: South Africa (-1.5),Mexico,4,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Spread: South Africa (-1.5),Mexico,4,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Spread: South Africa (-1.5),Mexico,4,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Spread: South Africa (-1.5),Mexico,4,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
spread_tight_loss_ge2,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Spread: South Africa (-1.5),Mexico,4,1.5,2,,,,,other_side,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: South Africa O/U 1.5,Under,2,1.5,,,South Africa,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: South Africa O/U 1.5,Under,2,1.5,,,South Africa,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: South Africa O/U 1.5,Under,2,1.5,,,South Africa,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: South Africa O/U 1.5,Under,2,1.5,,,South Africa,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
team_total_under_loss_ge2,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: South Africa O/U 1.5,Under,2,1.5,,,South Africa,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
total_under_loss_ge2,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 3.5,Under,2,3.5,,2,,,,,,3,25.42,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,3,25.42,3,25.42,3,25.42,[]
total_under_loss_ge2,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 3.5,Under,2,3.5,,2,,,,,,6,101.72,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,6,101.72,6,101.72,6,101.72,[]
total_under_loss_ge2,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 3.5,Under,2,3.5,,2,,,,,,8,210.37,0.99,0.99,0.9801,0.9801,0,0,0,0,0,0,8,210.37,8,210.37,8,210.37,[]
total_under_loss_ge2,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 3.5,Under,2,3.5,,2,,,,,,18,3132.368106,0.98,0.99,1.9808,0.9801,0,0,0,0,1,36.58,18,3132.368106,18,3132.368106,18,3132.368106,[]
total_under_loss_ge2,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 3.5,Under,2,3.5,,2,,,,,,51,11661.447658,0.93,0.99,7.3169,0.9801,6,3061.8363,25,4524.737507,30,8211.215152,51,11661.447658,51,11661.447658,51,11661.447658,[]
draw_no_lead_ge2,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico vs. South Africa end in a draw?,No,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
draw_no_lead_ge2,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico vs. South Africa end in a draw?,No,2,,,,,,,,,1,5.0,0.995,0.995,0.4875,0.4875,0,0,0,0,0,0,0,0,1,5.0,1,5.0,[]
draw_no_lead_ge2,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico vs. South Africa end in a draw?,No,2,,,,,,,,,4,63.88,0.991,0.995,0.8812,0.4875,0,0,0,0,0,0,0,0,3,53.88,4,63.88,[]
draw_no_lead_ge2,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico vs. South Africa end in a draw?,No,2,,,,,,,,,10,229.99111,0.991,0.995,0.8812,0.4875,0,0,0,0,0,0,0,0,7,204.99111,10,229.99111,[]
draw_no_lead_ge2,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico vs. South Africa end in a draw?,No,2,,,,,,,,,16,41577.81111,0.991,0.995,0.8812,0.4875,0,0,0,0,0,0,0,0,7,204.99111,16,41577.81111,[]
total_over_locked,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,5,58.95,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,58.95,[]
total_over_locked,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,8,123.16,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,123.16,[]
total_over_locked,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,9,153.87,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,9,153.87,[]
total_over_locked,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,10,156.72,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,10,156.72,[]
total_over_locked,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Mexico vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,17,3670.46,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,17,3670.46,[]
loser_no,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will South Africa win on 2026-06-11?,No,3,,,,,,South Africa,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
loser_no,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will South Africa win on 2026-06-11?,No,3,,,,,,South Africa,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
loser_no,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will South Africa win on 2026-06-11?,No,3,,,,,,South Africa,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
loser_no,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will South Africa win on 2026-06-11?,No,3,,,,,,South Africa,,,3,1141.12,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,1141.12,[]
loser_no,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will South Africa win on 2026-06-11?,No,3,,,,,,South Africa,,,5,1163.01,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,1163.01,[]
leader_yes_lead_ge2,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,Yes,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
leader_yes_lead_ge2,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,Yes,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
leader_yes_lead_ge2,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,Yes,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
leader_yes_lead_ge2,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,Yes,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
leader_yes_lead_ge2,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,Yes,2,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,[]
total_under_loss_ge2,60,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Korea Republic vs. Czechia: O/U 4.5,Under,2,4.5,,3,,,,,,2,373.3,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,373.3,[]
total_under_loss_ge2,120,2026-06-12,Korea Republic vs. Czechia,2-1,1,Korea Republic,Korea Republic vs. Czechia: O/U 4.5,Under,2,4.5,,3,,,,,,5,400.61,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,400.61,[]
