date,title,score,margin,winner,market_type,question,line,required_margin,spread_cushion,price_history_last120,price_history_min120,buy_trades_120,buy_size_120,buy_min_price_120,buy_last_price_120,net_roi_min_pct_120,net_roi_last_pct_120,trades_le_0.99_120,size_le_0.99_120,trades_le_0.98_120,size_le_0.98_120,trades_le_0.97_120,size_le_0.97_120,trades_le_0.995_120,size_le_0.995_120,trades_le_0.999_120,size_le_0.999_120,page_errors,error
2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,moneyline,Will Mexico win on 2026-06-11?,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[],
2026-06-13,United States vs. Paraguay,4-1,3,United States,moneyline,Will United States win on 2026-06-12?,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[],
2026-06-14,Australia vs. Türkiye,2-0,2,Australia,moneyline,Will Australia win on 2026-06-14?,,,,,,67,14336.95,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,67,14336.95,[],
2026-06-14,Germany vs. Curaçao,7-1,6,Germany,moneyline,Will Germany win on 2026-06-14?,,,,,,14,34311.77,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,14,34311.77,[],
2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,moneyline,Will Sweden win on 2026-06-14?,,,,,,62,41485.03,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,62,41485.03,[],
2026-06-16,France vs. Senegal,3-1,2,France,moneyline,Will France win on 2026-06-16?,,,,,,94,25384.92,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,94,25384.92,[],
2026-06-16,Iraq vs. Norway,1-4,3,Norway,moneyline,Will Norway win on 2026-06-16?,,,,,,24,10000.41,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,24,10000.41,[],
2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,moneyline,Will Argentina win on 2026-06-16?,,,,,,84,1116611.01,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,84,1116611.01,[],
2026-06-17,Austria vs. Jordan,3-1,2,Austria,moneyline,Will Austria win on 2026-06-17?,,,,,,117,34650.72,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,117,34650.72,[],
2026-06-17,England vs. Croatia,4-2,2,England,moneyline,Will England win on 2026-06-17?,,,,,,105,29719.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,105,29719.53,[],
2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,moneyline,Will Colombia win on 2026-06-17?,,,,,,77,30824.79,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,77,30824.79,[],
2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,moneyline,Will Switzerland win on 2026-06-18?,,,,,,49,11602.05,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,49,11602.05,[],
2026-06-18,Canada vs. Qatar,6-0,6,Canada,moneyline,Will Canada win on 2026-06-18?,,,,,,5,201.56,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,5,201.56,[],
2026-06-19,United States vs. Australia,2-0,2,United States,moneyline,Will United States win on 2026-06-19?,,,,,,72,73625.67,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,72,73625.67,[],
2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,moneyline,Will Brazil win on 2026-06-19?,,,,,,9,3785.84,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,9,3785.84,[],
2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,moneyline,Will Netherlands win on 2026-06-20?,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[],
2026-06-21,Tunisia vs. Japan,0-4,4,Japan,moneyline,Will Japan win on 2026-06-21?,,,,,,36,2454.08,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,36,2454.08,[],
2026-06-21,Spain vs. Saudi Arabia,4-0,4,Spain,moneyline,Will Spain win on 2026-06-21?,,,,,,9,254.9,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,9,254.9,[],
2026-06-22,New Zealand vs. Egypt,1-3,2,Egypt,moneyline,Will Egypt win on 2026-06-21?,,,,,,35,3504.22,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,35,3504.22,[],
