date,title,score,margin,winner,question,buy_trades_60,buy_size_60,buy_min_price_60,buy_last_price_60,net_roi_min_pct_60,net_roi_last_pct_60,trades_le_0.99_60,size_le_0.99_60,trades_le_0.98_60,size_le_0.98_60,trades_le_0.97_60,size_le_0.97_60,trades_le_0.995_60,size_le_0.995_60,trades_le_0.999_60,size_le_0.999_60,page_errors
2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[]
2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[]
2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,31,6882.87,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,31,6882.87,[]
2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,10,11441.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,10,11441.52,[]
2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,32,36406.43,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,32,36406.43,[]
2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,24,1949.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,24,1949.47,[]
2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,16,3515.71,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,16,3515.71,[]
2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,58,1114390.09,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,58,1114390.09,[]
2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,54,10654.34,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,54,10654.34,[]
2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,77,12253.16,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,77,12253.16,[]
2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,37,12873.26,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,37,12873.26,[]
2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,34,10457.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,34,10457.11,[]
2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,4,200.25,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,4,200.25,[]
2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,37,9384.84,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,37,9384.84,[]
2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,2,164.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,2,164.53,[]
2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Will Netherlands win on 2026-06-20?,0,0,,,,,0,0,0,0,0,0,0,0,0,0,[]
2026-06-21,Tunisia vs. Japan,0-4,4,Japan,Will Japan win on 2026-06-21?,18,857.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,18,857.53,[]
2026-06-21,Spain vs. Saudi Arabia,4-0,4,Spain,Will Spain win on 2026-06-21?,5,96.48,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,5,96.48,[]
2026-06-22,New Zealand vs. Egypt,1-3,2,Egypt,Will Egypt win on 2026-06-21?,16,2741.03,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,16,2741.03,[]
