strategy,window_sec,events,events_with_trades,obs_mean_min_net_roi_pct,rand_mean_pick_net_roi_pct,roi_diff_ci_lo,roi_diff_ci_hi,roi_p_strat_gt_rand,obs_hit_rate_le_099,rand_hit_rate_le_099,hit_rate_diff_ci_lo,hit_rate_diff_ci_hi,hit_rate_p_strat_gt_rand
btts_yes_locked,60,20,20,0.14125014560014576,0.14125014560014576,0.0,5.551115123125783e-17,0.6055,0.05,0.05,0.0,0.0,1.0
draw_no_lead_ge2,60,7,7,0.09710010010010019,0.09710010010010019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
leader_yes_lead_ge2,60,16,16,0.09710010010010019,0.0971001001001002,-1.3877787807814457e-17,1.3877787807814457e-17,0.8904,0.0,0.0,0.0,0.0,1.0
loser_no,60,18,18,0.09710010010010019,0.0971001001001002,-1.3877787807814457e-17,0.0,1.0,0.0,0.0,0.0,0.0,1.0
spread_tight_loss_ge2,60,18,18,0.467572657965417,0.3903743104655741,1.904790234985576e-07,0.13895681597279136,0.0112,0.2777777777777778,0.24444444444444446,0.0,0.06666666666666665,0.3512
team_total_over_locked,60,14,14,0.2863145808145811,0.2863145808145811,0.0,0.0,1.0,0.21428571428571427,0.21428571428571427,0.0,0.0,1.0
team_total_under_loss_ge2,60,12,12,0.30960637359678767,0.22788103990402478,0.0,0.16345066738552563,0.1165,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.355
total_over_locked,60,28,28,0.9330583590553474,0.4231825253128093,0.0,0.951768222986071,0.2784,0.17857142857142858,0.17857142857142858,0.0,0.0,1.0
total_under_loss_ge2,60,33,33,0.28424902553760306,0.20691188368791832,0.025228597428597427,0.12152979433521888,0.0046,0.12121212121212122,0.10303030303030303,0.0,0.033333333333333326,0.3468
btts_yes_locked,120,21,21,0.13914776248109598,0.13914776248109595,-1.3877787807814457e-17,8.326672684688674e-17,0.5948,0.047619047619047616,0.047619047619047616,0.0,0.0,1.0
draw_no_lead_ge2,120,9,9,0.34771652821110116,0.23025418959389832,0.0,0.21143220951096525,0.1035,0.2222222222222222,0.07555555555555554,0.0,0.264,0.1035
leader_yes_lead_ge2,120,16,16,0.09710010010010019,0.0971001001001002,-1.3877787807814457e-17,0.0,0.9999,0.0,0.0,0.0,0.0,1.0
loser_no,120,20,20,0.14125014560014576,0.10036562995791709,0.0,0.07433548298587021,0.3487,0.05,0.0023809523809523807,0.0,0.08658008658008658,0.3652
spread_tight_loss_ge2,120,25,25,1.3138548433889563,0.636389618880535,0.08055031894424111,1.1523678460019233,0.0,0.4,0.3316666666666667,0.0078125,0.11388888888888887,0.0135
team_total_over_locked,120,21,21,0.6081299182527258,0.2947404943159206,0.0,0.5484314918894091,0.1232,0.19047619047619047,0.19047619047619047,0.0,0.0,1.0
team_total_under_loss_ge2,120,14,14,0.3423198280973259,0.240733795289211,2.7755575615628914e-17,0.1777755574142012,0.0087,0.21428571428571427,0.13095238095238096,0.0,0.14583333333333334,0.1164
total_over_locked,120,31,31,66.90973968983647,2.3977877078957195,1.0055851685297068,116.4033982416979,0.0002,0.3225806451612903,0.25541570268077984,0.014403292181069977,0.1095849061524119,0.0044
total_under_loss_ge2,120,35,35,0.5609055539222563,0.31152196090853906,0.10860597434044679,0.36366777738765865,0.0,0.2571428571428571,0.1603174603174603,0.03260869565217392,0.15404040404040406,0.0048
btts_yes_locked,180,23,23,0.16958159453311494,0.13903188735221053,0.0,0.05855360543006673,0.1288,0.043478260869565216,0.043478260869565216,0.0,0.0,1.0
draw_no_lead_ge2,180,11,11,0.3560179905870195,0.25481629435291464,0.0,0.18553644309585898,0.0313,0.18181818181818182,0.09390609390609389,0.0,0.16117216117216118,0.112
leader_yes_lead_ge2,180,16,16,0.2197523558368592,0.10870417158175907,-1.3877787807814457e-17,0.1974189942312891,0.0348,0.125,0.003825081168831169,0.0,0.2154220779220779,0.117
loser_no,180,21,21,0.18582879160033489,0.11119109594666747,0.0,0.13061596739391806,0.0341,0.09523809523809523,0.014460716588376162,0.0,0.14136041263700838,0.1227
spread_tight_loss_ge2,180,29,29,1.3395567029939486,0.6601350672438571,0.15332297404176587,1.0877032200832473,0.0,0.3793103448275862,0.3245484400656814,0.003968253968253954,0.09341736694677871,0.0124
