mode,date,title,score,market_slug,question,line,buy_trades_60,buy_size_60,buy_min_price_60,buy_net_min_pct_60
max,2026-06-11,Mexico vs. South Africa,2-0,fifwc-mex-rsa-2026-06-11-spread-home-1pt5,Spread: Mexico (-1.5),-1.5,0,0,,
-1.5,2026-06-11,Mexico vs. South Africa,2-0,fifwc-mex-rsa-2026-06-11-spread-home-1pt5,Spread: Mexico (-1.5),-1.5,0,0,,
max,2026-06-12,United States vs. Paraguay,4-1,fifwc-usa-par-2026-06-12-spread-home-2pt5,Spread: United States (-2.5),-2.5,0,0,,
-1.5,2026-06-12,United States vs. Paraguay,4-1,fifwc-usa-par-2026-06-12-spread-home-1pt5,Spread: United States (-1.5),-1.5,4,51130.12,0.99,0.9801
max,2026-06-14,Australia vs. Türkiye,2-0,fifwc-aus-tur-2026-06-14-spread-home-1pt5,Spread: Australia (-1.5),-1.5,0,0,,
-1.5,2026-06-14,Australia vs. Türkiye,2-0,fifwc-aus-tur-2026-06-14-spread-home-1pt5,Spread: Australia (-1.5),-1.5,19,3675.5206,0.96,4.0467
max,2026-06-14,Germany vs. Curaçao,7-1,fifwc-ger-kor-2026-06-14-spread-home-5pt5,Spread: Germany (-5.5),-5.5,3,64.2,0.99,0.9801
-1.5,2026-06-14,Germany vs. Curaçao,7-1,fifwc-ger-kor-2026-06-14-spread-home-1pt5,Spread: Germany (-1.5),-1.5,0,0,,
max,2026-06-14,Sweden vs. Tunisia,5-1,fifwc-swe-tun-2026-06-14-spread-home-2pt5,Spread: Sweden (-2.5),-2.5,4,1060.7,0.99,0.9801
-1.5,2026-06-14,Sweden vs. Tunisia,5-1,fifwc-swe-tun-2026-06-14-spread-home-1pt5,Spread: Sweden (-1.5),-1.5,5,283.79,0.999,0.0971
max,2026-06-16,France vs. Senegal,3-1,fifwc-fra-sen-2026-06-16-spread-home-1pt5,Spread: France (-1.5),-1.5,129,27661.8722,0.1,897.3
