market_group,window_sec,events,events_with_trades,events_min_le_0.97,total_size_le_0.97,events_min_le_0.98,total_size_le_0.98,events_min_le_0.99,total_size_le_0.99,events_min_le_0.995,total_size_le_0.995,events_min_le_0.999,total_size_le_0.999,overall_min_price,overall_min_net_roi_pct
moneyline,60,19,16,0,0,0,0,0,0,0,0,16,1234268.62,0.999,0.0971
moneyline,120,19,16,0,0,0,0,0,0,0,0,16,1432753.45,0.999,0.0971
moneyline,180,19,16,0,0,0,0,2,7607.31,2,19867.27,16,1586697.615496,0.989,1.0792
moneyline,300,19,16,3,71050.422933,3,200721.114969,4,298696.509526,5,365320.784633,16,2242283.049774,0.92,8.4557
moneyline,480,19,16,3,171491.792057,4,358999.70183,5,590478.373866,7,738797.048973,16,3223668.504112,0.916,8.9183
spread_cushion2,60,6,4,0,0,0,0,0,0,0,0,4,11467.08,0.999,0.0971
spread_cushion2,120,6,6,0,0,0,0,0,0,0,0,6,20079.62,0.999,0.0971
spread_cushion2,180,6,6,0,0,0,0,0,0,0,0,6,111645.3,0.999,0.0971
spread_cushion2,300,6,6,0,0,0,0,1,411.21,1,411.21,6,164085.75,0.99,0.9801
spread_cushion2,480,6,6,0,0,0,0,2,5465.1,3,5484.1,6,225992.300499,0.99,0.9801
