market_group,window_sec,date,title,score,margin,winner,question,line,required_margin,cushion,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,conditionId,token,page_errors,error
moneyline,60,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,,,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,[],
moneyline,120,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,,,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,[],
moneyline,180,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,,,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,[],
moneyline,300,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,,,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,[],
moneyline,480,2026-06-11,Mexico vs. South Africa,2-0,2,Mexico,Will Mexico win on 2026-06-11?,,,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,[],
moneyline,60,2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,,,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,[],
moneyline,120,2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,,,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,[],
moneyline,180,2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,,,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,[],
moneyline,300,2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,,,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,[],
moneyline,480,2026-06-13,United States vs. Paraguay,4-1,3,United States,Will United States win on 2026-06-12?,,,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,[],
moneyline,60,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,,,2,31,6882.87,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,31,6882.87,0xaaee502e7f2378521ba15c183e2762cecab013dd42f7600f7b35e99e0882f08c,45307929350007847491024268648960623527752242214197163455465935647967776740420,[],
moneyline,120,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,,,2,67,14336.95,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,67,14336.95,0xaaee502e7f2378521ba15c183e2762cecab013dd42f7600f7b35e99e0882f08c,45307929350007847491024268648960623527752242214197163455465935647967776740420,[],
moneyline,180,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,,,2,103,32523.83,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,103,32523.83,0xaaee502e7f2378521ba15c183e2762cecab013dd42f7600f7b35e99e0882f08c,45307929350007847491024268648960623527752242214197163455465935647967776740420,[],
moneyline,300,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,,,2,181,74812.015,0.99,0.999,0.9801,0.0971,0,0,0,0,16,15296.949,34,22785.249,181,74812.015,0xaaee502e7f2378521ba15c183e2762cecab013dd42f7600f7b35e99e0882f08c,45307929350007847491024268648960623527752242214197163455465935647967776740420,[],
moneyline,480,2026-06-14,Australia vs. Türkiye,2-0,2,Australia,Will Australia win on 2026-06-14?,,,2,263,114318.4049,0.99,0.999,0.9801,0.0971,0,0,0,0,98,54803.3389,116,62291.6389,263,114318.4049,0xaaee502e7f2378521ba15c183e2762cecab013dd42f7600f7b35e99e0882f08c,45307929350007847491024268648960623527752242214197163455465935647967776740420,[],
moneyline,60,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,,,6,10,11441.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,10,11441.52,0x00cf3efc18a950cf442049aa0770903f0ab8606212499e0e4196bf74c102c456,80258038883060787104700033663206548991173635281684057844048254140005841868705,[],
moneyline,120,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,,,6,14,34311.77,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,14,34311.77,0x00cf3efc18a950cf442049aa0770903f0ab8606212499e0e4196bf74c102c456,80258038883060787104700033663206548991173635281684057844048254140005841868705,[],
moneyline,180,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,,,6,19,34426.08,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,19,34426.08,0x00cf3efc18a950cf442049aa0770903f0ab8606212499e0e4196bf74c102c456,80258038883060787104700033663206548991173635281684057844048254140005841868705,[],
moneyline,300,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,,,6,35,37529.46,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,35,37529.46,0x00cf3efc18a950cf442049aa0770903f0ab8606212499e0e4196bf74c102c456,80258038883060787104700033663206548991173635281684057844048254140005841868705,[],
moneyline,480,2026-06-14,Germany vs. Curaçao,7-1,6,Germany,Will Germany win on 2026-06-14?,,,6,53,44443.15,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,53,44443.15,0x00cf3efc18a950cf442049aa0770903f0ab8606212499e0e4196bf74c102c456,80258038883060787104700033663206548991173635281684057844048254140005841868705,[],
moneyline,60,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,,,4,32,36406.43,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,32,36406.43,0xc6f7e4a015ec643eb49c749da19553a2257add76278a252805a12dfa85103269,77891685052397355147816140430897431230743681776824155461036740561521945442239,[],
moneyline,120,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,,,4,62,41485.03,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,62,41485.03,0xc6f7e4a015ec643eb49c749da19553a2257add76278a252805a12dfa85103269,77891685052397355147816140430897431230743681776824155461036740561521945442239,[],
moneyline,180,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,,,4,95,56665.18,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,95,56665.18,0xc6f7e4a015ec643eb49c749da19553a2257add76278a252805a12dfa85103269,77891685052397355147816140430897431230743681776824155461036740561521945442239,[],
moneyline,300,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,,,4,151,64677.92,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,151,64677.92,0xc6f7e4a015ec643eb49c749da19553a2257add76278a252805a12dfa85103269,77891685052397355147816140430897431230743681776824155461036740561521945442239,[],
moneyline,480,2026-06-15,Sweden vs. Tunisia,5-1,4,Sweden,Will Sweden win on 2026-06-14?,,,4,246,98261.31,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,246,98261.31,0xc6f7e4a015ec643eb49c749da19553a2257add76278a252805a12dfa85103269,77891685052397355147816140430897431230743681776824155461036740561521945442239,[],
moneyline,60,2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,,,2,24,1949.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,24,1949.47,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,10541943766977992250149902475024620982770128161688998706490955791758263657916,[],
moneyline,120,2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,,,2,94,25384.92,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,94,25384.92,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,10541943766977992250149902475024620982770128161688998706490955791758263657916,[],
moneyline,180,2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,,,2,180,55286.94,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,180,55286.94,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,10541943766977992250149902475024620982770128161688998706490955791758263657916,[],
moneyline,300,2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,,,2,512,389441.660593,0.951,0.999,5.0055,0.0971,64,9744.907323,80,122380.81012,92,163339.804641,118,193186.404638,512,389441.660593,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,10541943766977992250149902475024620982770128161688998706490955791758263657916,[],
moneyline,480,2026-06-16,France vs. Senegal,3-1,2,France,Will France win on 2026-06-16?,,,2,773,619145.941941,0.916,0.999,8.9183,0.0971,119,28374.601791,154,147457.202325,222,221032.244425,250,265978.844422,773,619145.941941,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,10541943766977992250149902475024620982770128161688998706490955791758263657916,[],
